Label,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_COLOR,MEAN_INTENSITY,MEDIAN_INTENSITY,MIN_INTENSITY,MAX_INTENSITY,TOTAL_INTENSITY,STANDARD_DEVIATION,ESTIMATED_DIAMETER,CONTRAST,SNR
ID10777,10777,0,458.712,69,14,0,0,0,3.5,1,-10921639,1097.358,1080,564,2118,374199,199.929,13.3,0.069,0.708
ID11306,11306,0,567.212,69,13,0,1,1,3.5,1,-10921639,1135.689,1119,722,2142,387270,200.616,11.816,0.086,0.896
ID11135,11135,0,552.813,69,14,0,2,2,3.5,1,-10921639,1129.935,1106,671,2660,385308,213.099,10.408,0.08,0.788
ID10954,10954,0,583.929,69,14,0,3,3,3.5,1,-10921639,1129.091,1115,627,2281,385020,222.905,12.483,0.083,0.773
ID11466,11466,0,504.716,70,13,0,4,4,3.5,1,-10921639,1120.109,1100,624,2455,381957,203.12,12.474,0.084,0.853
ID11954,11954,0,429.533,69,14,0,5,5,3.5,1,-10921639,1119.041,1094,613,2496,381593,206.49,11.655,0.079,0.79
ID11797,11797,0,347.156,69,13,0,6,6,3.5,1,-10921639,1103.742,1087,685,2234,376376,175.937,11.736,0.069,0.808
ID11632,11632,0,367.829,69,14,0,7,7,3.5,1,-10921639,1102.607,1085,654,2327,375989,182.973,13.3,0.072,0.813
ID12111,12111,0,442.541,69,14,0,8,8,3.5,1,-10921639,1116.018,1109,606,2350,380562,195.106,13.3,0.078,0.826
ID12426,12426,0,347.906,69,14,0,9,9,3.5,1,-10921639,1119.733,1101,610,2517,381829,180.848,13.3,0.078,0.891
ID12270,12270,0,430.083,69,14,0,10,10,3.5,1,-10921639,1109.419,1087,627,2560,378312,200.72,13.3,0.074,0.762
ID12589,12589,0,503.717,68,14,0,11,11,3.5,1,-10921639,1113.566,1075,584,2326,379726,219.193,11.757,0.076,0.715
ID12748,12748,0,392.592,69,14,0,12,12,3.5,1,-10921639,1101.296,1084,652,2559,375542,186.697,10.715,0.071,0.782
ID12915,12915,0,357.112,69,14,0,13,13,3.5,1,-10921639,1101.437,1082,635,2582,375590,204.441,11.905,0.068,0.683
ID13079,13079,0,451.995,68,15,0,14,14,3.5,1,-10921639,1127.933,1113,616,2544,384625,200.92,11.816,0.081,0.839
ID13233,13233,0,478.121,68,15,0,15,15,3.5,1,-10921639,1111.947,1097,591,2647,379174,205.586,11.908,0.072,0.731
ID13386,13386,0,434.18,69,14,0,16,16,3.5,1,-10921639,1108.95,1090,589,2621,378152,199.288,11.797,0.076,0.784
ID13546,13546,0,410.122,70,14,0,17,17,3.5,1,-10921639,1112.795,1091,698,2105,379463,183.973,10.032,0.074,0.835
ID13710,13710,0,401.354,69,13,0,18,18,3.5,1,-10921639,1108.818,1096,594,2503,378107,196.437,10.498,0.073,0.767
ID13854,13854,0,491.109,69,14,0,19,19,3.5,1,-10921639,1103.111,1091,653,2362,376161,192.525,10.811,0.074,0.786
ID14178,14178,0,436.035,68,14,0,20,20,3.5,1,-10921639,1110.182,1106,603,2065,378572,181.26,12.636,0.075,0.851
ID14009,14009,0,415.082,67,15,0,21,21,3.5,1,-10921639,1112.801,1094,614,2406,379465,204.169,11.818,0.074,0.747
ID14333,14333,0,466.179,68,14,0,22,22,3.5,1,-10921639,1106.481,1083,617,2358,377310,212.456,11.795,0.074,0.717
ID14479,14479,0,221.448,69,13,0,23,23,3.5,1,-10921639,1083.059,1077,662,2175,369323,156.513,11.115,0.064,0.83
ID14802,14802,0,215.053,69,14,0,24,24,3.5,1,-10921639,1083.997,1079,622,1960,369643,157.747,13.3,0.062,0.799
ID10782,10782,4,407.103,69,100,0,0,0,3.5,1,-10921639,1304.258,1301,692,2918,444752,234.468,13.3,0.069,0.72
ID11313,11313,4,442.5,69,100,0,1,1,3.5,1,-10921639,1306.918,1287,698,3198,445659,229.098,10.611,0.074,0.791
ID11143,11143,4,461.815,69,99,0,2,2,3.5,1,-10921639,1282.006,1244,853,2460,437164,213.196,10.578,0.065,0.732
ID10964,10964,4,418.035,70,100,0,3,3,3.5,1,-10921639,1288.504,1264,776,2766,439380,222.778,11.816,0.065,0.705
ID11472,11472,4,496.016,70,99,0,4,4,3.5,1,-10921639,1294.651,1280,733,3014,441476,237.58,13.3,0.068,0.696
ID11959,11959,4,432.948,70,100,0,5,5,3.5,1,-10921639,1286.466,1271,695,3106,438685,230.159,11.852,0.067,0.697
ID11800,11800,4,390.037,69,100,0,6,6,3.5,1,-10921639,1301.522,1293,741,2626,443819,215.672,10.503,0.073,0.818
ID11637,11637,4,446.796,70,100,0,7,7,3.5,1,-10921639,1306.683,1288,809,2550,445579,221.863,13.3,0.075,0.823
ID12115,12115,4,435.288,71,100,0,8,8,3.5,1,-10921639,1317.774,1312,830,2742,449361,227.675,11.972,0.075,0.805
ID12429,12429,4,330.997,70,100,0,9,9,3.5,1,-10921639,1292.877,1276,670,3636,440871,238.661,11.132,0.066,0.671
ID12273,12273,4,486.737,70,100,0,10,10,3.5,1,-10921639,1309.765,1280,694,3616,446630,258.316,10.458,0.074,0.698
ID12594,12594,4,513.505,71,100,0,11,11,3.5,1,-10921639,1298.27,1282,738,3564,442710,265.508,13.3,0.074,0.671
ID12755,12755,4,409.887,70,100,0,12,12,3.5,1,-10921639,1295.554,1287,733,2803,441784,222.648,13.3,0.072,0.779
ID12921,12921,4,341.395,70,100,0,13,13,3.5,1,-10921639,1290.9,1290,849,3011,440197,207.574,11.813,0.067,0.777
ID13082,13082,4,445.288,70,100,0,14,14,3.5,1,-10921639,1282.601,1280,772,3241,437367,231.287,11.707,0.065,0.678
ID13242,13242,4,509.65,70,101,0,15,15,3.5,1,-10921639,1299.701,1273,796,3468,443198,233.353,13.3,0.074,0.766
ID13392,13392,4,445.597,70,100,0,16,16,3.5,1,-10921639,1299.686,1289,740,3179,443193,231.962,11.864,0.071,0.74
ID13552,13552,4,534.479,70,100,0,17,17,3.5,1,-10921639,1307.27,1297,743,2809,445779,228.792,11.848,0.075,0.792
ID13714,13714,4,547.959,70,100,0,18,18,3.5,1,-10921639,1308.202,1283,748,3146,446097,243.917,11.706,0.077,0.769
ID13860,13860,4,458.797,71,100,0,19,19,3.5,1,-10921639,1292.76,1280,812,2455,440831,223.447,13.3,0.071,0.771
ID14183,14183,4,379.869,70,100,0,20,20,3.5,1,-10921639,1271.155,1257,683,2349,433464,210.522,11.977,0.064,0.728
ID14016,14016,4,406.57,70,100,0,21,21,3.5,1,-10921639,1282.378,1285,704,2792,437291,217.711,11.905,0.069,0.758
ID14337,14337,4,448.258,70,100,0,22,22,3.5,1,-10921639,1287.053,1270,844,3238,438885,222.28,13.3,0.069,0.749
ID14484,14484,4,349.575,70,100,0,23,23,3.5,1,-10921639,1308.504,1301,784,2958,446200,216.546,13.3,0.074,0.829
ID14807,14807,4,357.672,70,100,0,24,24,3.5,1,-10921639,1290.982,1291,651,3012,440225,211.868,11.958,0.07,0.796
ID14969,14969,4,330.812,70,100,0,25,25,3.5,1,-10921639,1277.408,1284,700,2852,435596,205.179,10.95,0.065,0.765
ID14650,14650,4,394.799,70,100,0,26,26,3.5,1,-10921639,1289.258,1264,797,3022,439637,217.453,11.595,0.07,0.78
ID15133,15133,4,259.075,70,100,0,27,27,3.5,1,-10921639,1277.015,1263,798,2244,435462,195.939,11.434,0.064,0.786
ID15451,15451,4,225.107,70,100,0,28,28,3.5,1,-10921639,1282.695,1278,743,2180,437399,185.648,11.941,0.066,0.851
ID15287,15287,4,262.118,70,100,0,29,29,3.5,1,-10921639,1297.877,1287,890,3268,442576,210.431,11.934,0.072,0.827
ID15612,15612,4,239.258,70,100,0,30,30,3.5,1,-10921639,1284.575,1260,827,2305,438040,194.295,11.187,0.069,0.854
ID15776,15776,4,240.197,71,100,0,31,31,3.5,1,-10921639,1281.83,1272,830,2436,437104,185.315,12.049,0.066,0.862
ID15948,15948,4,219.096,70,100,0,32,32,3.5,1,-10921639,1261.094,1241,737,2310,430033,187.98,13.3,0.059,0.744
ID10789,10789,6,332.227,45,136,0,0,0,3.5,1,-10921639,1329.686,1326,823,2431,453423,212.194,13.3,0.067,0.783
ID11315,11315,6,310.83,46,135,0,1,1,3.5,1,-10921639,1321.66,1311,766,2526,450686,206.902,11.699,0.066,0.796
ID11146,11146,6,275.782,46,136,0,2,2,3.5,1,-10921639,1327.273,1312,785,2243,452600,196.647,11.771,0.069,0.871
ID10969,10969,6,397.263,46,136,0,3,3,3.5,1,-10921639,1333.513,1330,793,2313,454728,200.571,11.813,0.073,0.902
ID11473,11473,6,207.767,46,137,0,4,4,3.5,1,-10921639,1331.402,1320,666,2644,454008,203.514,12.28,0.068,0.828
ID11964,11964,6,288.703,46,136,0,5,5,3.5,1,-10921639,1321.106,1303,779,2996,450497,211.754,10.374,0.066,0.769
ID11804,11804,6,244.234,46,136,0,6,6,3.5,1,-10921639,1319.293,1310,812,2100,449879,188.053,10.524,0.066,0.869
ID12117,12117,6,354.991,46,136,0,8,8,3.5,1,-10921639,1317.062,1294,731,2464,449118,211.985,12.018,0.068,0.792
ID12432,12432,6,230.017,46,136,0,9,9,3.5,1,-10921639,1307.66,1300,704,2138,445912,192.543,10.515,0.061,0.781
ID12278,12278,6,246.356,46,136,0,10,10,3.5,1,-10921639,1308.689,1280,647,2034,446263,197.329,13.3,0.064,0.801
ID12597,12597,6,249.86,45,136,0,11,11,3.5,1,-10921639,1317.666,1304,770,2479,449324,203.981,11.753,0.065,0.792
ID12757,12757,6,351.219,46,136,0,12,12,3.5,1,-10921639,1345.29,1342,809,2355,458744,210.607,13.3,0.075,0.895
ID12923,12923,6,257.741,46,136,0,13,13,3.5,1,-10921639,1313.205,1293,821,1989,447803,196.273,11.915,0.065,0.812
ID13086,13086,6,237.136,46,136,0,14,14,3.5,1,-10921639,1309.774,1295,746,2736,446633,193.082,11.787,0.065,0.823
ID13244,13244,6,280.052,46,136,0,15,15,3.5,1,-10921639,1330.396,1339,768,2286,453665,189.173,11.855,0.07,0.916
ID13395,13395,6,313.911,46,136,0,16,16,3.5,1,-10921639,1329.683,1309,804,2528,453422,220.247,11.196,0.07,0.792
ID13553,13553,6,248.077,46,136,0,17,17,3.5,1,-10921639,1327.974,1317,749,2766,452839,194.29,13.3,0.067,0.855
ID13716,13716,6,210.717,46,136,0,18,18,3.5,1,-10921639,1327.683,1314,776,2428,452740,186.19,11.086,0.068,0.907
ID14186,14186,6,225.916,47,136,0,20,20,3.5,1,-10921639,1328.836,1332,791,2319,453133,201.32,10.622,0.068,0.836
ID14021,14021,6,274.315,46,136,0,21,21,3.5,1,-10921639,1304.399,1284,764,2956,444800,207.036,11.804,0.061,0.728
ID14340,14340,6,306.887,46,135,0,22,22,3.5,1,-10921639,1309.484,1311,802,2307,446534,182.169,13.3,0.066,0.895
ID10792,10792,8,574.428,72,144,0,0,0,3.5,1,-10921639,1357.372,1318,688,2564,462864,245.203,13.3,0.073,0.755
ID11317,11317,8,519.461,72,144,0,1,1,3.5,1,-10921639,1352.155,1325,799,2740,461085,236.651,11.808,0.068,0.724
ID11147,11147,8,573.608,72,144,0,2,2,3.5,1,-10921639,1357.543,1323,740,2870,462922,255.072,11.696,0.07,0.698
ID10972,10972,8,352.061,72,145,0,3,3,3.5,1,-10921639,1348.487,1319,826,2294,459834,200.133,11.992,0.071,0.891
ID11474,11474,8,535.05,72,144,0,4,4,3.5,1,-10921639,1347.833,1323,840,2937,459611,239.904,13.3,0.071,0.741
ID11965,11965,8,604.223,72,143,0,5,5,3.5,1,-10921639,1384.73,1365,829,2965,472193,235.976,12.914,0.086,0.929
ID11806,11806,8,551.003,71,143,0,6,6,3.5,1,-10921639,1355.164,1340,742,3134,462111,257.093,13.3,0.075,0.734
ID11640,11640,8,359.084,72,144,0,7,7,3.5,1,-10921639,1329.883,1320,773,2781,453490,205.697,13.3,0.063,0.772
ID12119,12119,8,566.504,72,144,0,8,8,3.5,1,-10921639,1372.422,1355,774,3470,467996,254.315,13.3,0.082,0.817
ID12435,12435,8,366.503,71,145,0,9,9,3.5,1,-10921639,1364.196,1351,867,2420,465191,213.86,11.521,0.075,0.886
