 ,Label,Area,Mean,X,Y
1,MAX_052121_Hela_CBS_C+A_48h_Flag TR_MCP JF646_100x_ - 1_c561_Probabilities.h5,4,41450.2,555.0,15.0
2,MAX_052121_Hela_CBS_C+A_48h_Flag TR_MCP JF646_100x_ - 1_c561_Probabilities.h5,2,37682.5,203.0,18.5
3,MAX_052121_Hela_CBS_C+A_48h_Flag TR_MCP JF646_100x_ - 1_c561_Probabilities.h5,1,51772.0,255.5,18.5
4,MAX_052121_Hela_CBS_C+A_48h_Flag TR_MCP JF646_100x_ - 1_c561_Probabilities.h5,8,36207.6,186.4,25.4
5,MAX_052121_Hela_CBS_C+A_48h_Flag TR_MCP JF646_100x_ - 1_c561_Probabilities.h5,1,39321.0,327.5,26.5
6,MAX_052121_Hela_CBS_C+A_48h_Flag TR_MCP JF646_100x_ - 1_c561_Probabilities.h5,5,38927.2,473.5,27.3
7,MAX_052121_Hela_CBS_C+A_48h_Flag TR_MCP JF646_100x_ - 1_c561_Probabilities.h5,1,38010.0,594.5,28.5
8,MAX_052121_Hela_CBS_C+A_48h_Flag TR_MCP JF646_100x_ - 1_c561_Probabilities.h5,3,34733.0,170.8,32.8
9,MAX_052121_Hela_CBS_C+A_48h_Flag TR_MCP JF646_100x_ - 1_c561_Probabilities.h5,7,37541.4,562.8,39.5
10,MAX_052121_Hela_CBS_C+A_48h_Flag TR_MCP JF646_100x_ - 1_c561_Probabilities.h5,1,38665.0,237.5,43.5
11,MAX_052121_Hela_CBS_C+A_48h_Flag TR_MCP JF646_100x_ - 1_c561_Probabilities.h5,2,35388.0,253.5,44.0
12,MAX_052121_Hela_CBS_C+A_48h_Flag TR_MCP JF646_100x_ - 1_c561_Probabilities.h5,4,38665.2,61.0,45.5
13,MAX_052121_Hela_CBS_C+A_48h_Flag TR_MCP JF646_100x_ - 1_c561_Probabilities.h5,1,38665.0,249.5,46.5
14,MAX_052121_Hela_CBS_C+A_48h_Flag TR_MCP JF646_100x_ - 1_c561_Probabilities.h5,1,39976.0,269.5,47.5
15,MAX_052121_Hela_CBS_C+A_48h_Flag TR_MCP JF646_100x_ - 1_c561_Probabilities.h5,3,41723.7,358.2,49.8
16,MAX_052121_Hela_CBS_C+A_48h_Flag TR_MCP JF646_100x_ - 1_c561_Probabilities.h5,3,40412.7,563.8,51.2
17,MAX_052121_Hela_CBS_C+A_48h_Flag TR_MCP JF646_100x_ - 1_c561_Probabilities.h5,2,41614.5,344.0,52.5
18,MAX_052121_Hela_CBS_C+A_48h_Flag TR_MCP JF646_100x_ - 1_c561_Probabilities.h5,4,37682.0,225.2,54.5
19,MAX_052121_Hela_CBS_C+A_48h_Flag TR_MCP JF646_100x_ - 1_c561_Probabilities.h5,3,43034.0,231.2,59.8
20,MAX_052121_Hela_CBS_C+A_48h_Flag TR_MCP JF646_100x_ - 1_c561_Probabilities.h5,1,34078.0,484.5,60.5
21,MAX_052121_Hela_CBS_C+A_48h_Flag TR_MCP JF646_100x_ - 1_c561_Probabilities.h5,4,42433.5,501.0,64.0
22,MAX_052121_Hela_CBS_C+A_48h_Flag TR_MCP JF646_100x_ - 1_c561_Probabilities.h5,4,41123.0,185.0,66.0
23,MAX_052121_Hela_CBS_C+A_48h_Flag TR_MCP JF646_100x_ - 1_c561_Probabilities.h5,1,36699.0,175.5,69.5
24,MAX_052121_Hela_CBS_C+A_48h_Flag TR_MCP JF646_100x_ - 1_c561_Probabilities.h5,1,35388.0,91.5,70.5
25,MAX_052121_Hela_CBS_C+A_48h_Flag TR_MCP JF646_100x_ - 1_c561_Probabilities.h5,1,34078.0,336.5,70.5
26,MAX_052121_Hela_CBS_C+A_48h_Flag TR_MCP JF646_100x_ - 1_c561_Probabilities.h5,1,34733.0,165.5,77.5
27,MAX_052121_Hela_CBS_C+A_48h_Flag TR_MCP JF646_100x_ - 1_c561_Probabilities.h5,1,38010.0,261.5,77.5
28,MAX_052121_Hela_CBS_C+A_48h_Flag TR_MCP JF646_100x_ - 1_c561_Probabilities.h5,6,41614.3,163.3,86.7
29,MAX_052121_Hela_CBS_C+A_48h_Flag TR_MCP JF646_100x_ - 1_c561_Probabilities.h5,1,38010.0,63.5,88.5
