 ,Label,Area,Mean,X,Y
1,MAX_052121_Hela_CBS_GL2_48h_Flag TR_MCP JF646_100x_ - 1_c561_Probabilities.h5,7,42784.4,518.5,13.5
2,MAX_052121_Hela_CBS_GL2_48h_Flag TR_MCP JF646_100x_ - 1_c561_Probabilities.h5,1,38010.0,458.5,16.5
3,MAX_052121_Hela_CBS_GL2_48h_Flag TR_MCP JF646_100x_ - 1_c561_Probabilities.h5,5,42728.4,409.9,24.7
4,MAX_052121_Hela_CBS_GL2_48h_Flag TR_MCP JF646_100x_ - 1_c561_Probabilities.h5,1,36699.0,394.5,24.5
5,MAX_052121_Hela_CBS_GL2_48h_Flag TR_MCP JF646_100x_ - 1_c561_Probabilities.h5,9,44854.8,179.2,28.4
6,MAX_052121_Hela_CBS_GL2_48h_Flag TR_MCP JF646_100x_ - 1_c561_Probabilities.h5,6,43689.7,289.8,34.2
7,MAX_052121_Hela_CBS_GL2_48h_Flag TR_MCP JF646_100x_ - 1_c561_Probabilities.h5,9,44563.2,422.5,48.5
8,MAX_052121_Hela_CBS_GL2_48h_Flag TR_MCP JF646_100x_ - 1_c561_Probabilities.h5,9,46092.6,163.2,51.4
9,MAX_052121_Hela_CBS_GL2_48h_Flag TR_MCP JF646_100x_ - 1_c561_Probabilities.h5,7,43065.4,306.5,57.8
10,MAX_052121_Hela_CBS_GL2_48h_Flag TR_MCP JF646_100x_ - 1_c561_Probabilities.h5,6,47294.0,400.5,57.0
11,MAX_052121_Hela_CBS_GL2_48h_Flag TR_MCP JF646_100x_ - 1_c561_Probabilities.h5,3,39757.7,426.2,60.2
12,MAX_052121_Hela_CBS_GL2_48h_Flag TR_MCP JF646_100x_ - 1_c561_Probabilities.h5,1,36699.0,235.5,65.5
13,MAX_052121_Hela_CBS_GL2_48h_Flag TR_MCP JF646_100x_ - 1_c561_Probabilities.h5,9,46675.0,294.5,72.5
14,MAX_052121_Hela_CBS_GL2_48h_Flag TR_MCP JF646_100x_ - 1_c561_Probabilities.h5,6,37791.3,392.7,82.3
15,MAX_052121_Hela_CBS_GL2_48h_Flag TR_MCP JF646_100x_ - 1_c561_Probabilities.h5,8,45464.4,492.4,82.4
16,MAX_052121_Hela_CBS_GL2_48h_Flag TR_MCP JF646_100x_ - 1_c561_Probabilities.h5,10,48167.8,510.3,82.5
17,MAX_052121_Hela_CBS_GL2_48h_Flag TR_MCP JF646_100x_ - 1_c561_Probabilities.h5,1,39976.0,193.5,87.5
18,MAX_052121_Hela_CBS_GL2_48h_Flag TR_MCP JF646_100x_ - 1_c561_Probabilities.h5,3,44126.3,355.2,96.8
19,MAX_052121_Hela_CBS_GL2_48h_Flag TR_MCP JF646_100x_ - 1_c561_Probabilities.h5,4,52100.2,188.0,126.0
20,MAX_052121_Hela_CBS_GL2_48h_Flag TR_MCP JF646_100x_ - 1_c561_Probabilities.h5,1,35388.0,405.5,126.5
21,MAX_052121_Hela_CBS_GL2_48h_Flag TR_MCP JF646_100x_ - 1_c561_Probabilities.h5,1,39321.0,548.5,131.5
22,MAX_052121_Hela_CBS_GL2_48h_Flag TR_MCP JF646_100x_ - 1_c561_Probabilities.h5,1,36699.0,194.5,134.5
23,MAX_052121_Hela_CBS_GL2_48h_Flag TR_MCP JF646_100x_ - 1_c561_Probabilities.h5,3,35606.7,202.2,139.2
24,MAX_052121_Hela_CBS_GL2_48h_Flag TR_MCP JF646_100x_ - 1_c561_Probabilities.h5,1,35388.0,619.5,141.5
25,MAX_052121_Hela_CBS_GL2_48h_Flag TR_MCP JF646_100x_ - 1_c561_Probabilities.h5,5,48102.0,219.9,144.7
26,MAX_052121_Hela_CBS_GL2_48h_Flag TR_MCP JF646_100x_ - 1_c561_Probabilities.h5,6,44781.7,143.3,149.7
27,MAX_052121_Hela_CBS_GL2_48h_Flag TR_MCP JF646_100x_ - 1_c561_Probabilities.h5,4,42105.8,441.0,153.5
28,MAX_052121_Hela_CBS_GL2_48h_Flag TR_MCP JF646_100x_ - 1_c561_Probabilities.h5,3,45437.3,233.8,155.2
29,MAX_052121_Hela_CBS_GL2_48h_Flag TR_MCP JF646_100x_ - 1_c561_Probabilities.h5,2,34405.5,408.0,154.5
30,MAX_052121_Hela_CBS_GL2_48h_Flag TR_MCP JF646_100x_ - 1_c561_Probabilities.h5,6,43689.5,251.5,172.0
31,MAX_052121_Hela_CBS_GL2_48h_Flag TR_MCP JF646_100x_ - 1_c561_Probabilities.h5,5,43908.0,291.5,184.5
32,MAX_052121_Hela_CBS_GL2_48h_Flag TR_MCP JF646_100x_ - 1_c561_Probabilities.h5,7,44469.7,561.8,195.1
33,MAX_052121_Hela_CBS_GL2_48h_Flag TR_MCP JF646_100x_ - 1_c561_Probabilities.h5,1,33422.0,334.5,204.5
34,MAX_052121_Hela_CBS_GL2_48h_Flag TR_MCP JF646_100x_ - 1_c561_Probabilities.h5,10,46791.5,284.8,214.8
35,MAX_052121_Hela_CBS_GL2_48h_Flag TR_MCP JF646_100x_ - 1_c561_Probabilities.h5,1,45219.0,323.5,213.5
36,MAX_052121_Hela_CBS_GL2_48h_Flag TR_MCP JF646_100x_ - 1_c561_Probabilities.h5,5,50330.2,304.3,217.1
37,MAX_052121_Hela_CBS_GL2_48h_Flag TR_MCP JF646_100x_ - 1_c561_Probabilities.h5,10,44563.2,598.2,220.9
38,MAX_052121_Hela_CBS_GL2_48h_Flag TR_MCP JF646_100x_ - 1_c561_Probabilities.h5,9,45946.8,328.5,227.5
39,MAX_052121_Hela_CBS_GL2_48h_Flag TR_MCP JF646_100x_ - 1_c561_Probabilities.h5,6,50352.3,590.5,228.0
40,MAX_052121_Hela_CBS_GL2_48h_Flag TR_MCP JF646_100x_ - 1_c561_Probabilities.h5,4,50953.0,60.0,231.0
41,MAX_052121_Hela_CBS_GL2_48h_Flag TR_MCP JF646_100x_ - 1_c561_Probabilities.h5,8,46283.6,486.4,235.4
42,MAX_052121_Hela_CBS_GL2_48h_Flag TR_MCP JF646_100x_ - 1_c561_Probabilities.h5,10,40958.9,524.5,241.0
43,MAX_052121_Hela_CBS_GL2_48h_Flag TR_MCP JF646_100x_ - 1_c561_Probabilities.h5,4,47840.0,446.0,241.0
44,MAX_052121_Hela_CBS_GL2_48h_Flag TR_MCP JF646_100x_ - 1_c561_Probabilities.h5,6,49259.8,417.5,245.0
45,MAX_052121_Hela_CBS_GL2_48h_Flag TR_MCP JF646_100x_ - 1_c561_Probabilities.h5,11,46410.2,494.9,245.4
46,MAX_052121_Hela_CBS_GL2_48h_Flag TR_MCP JF646_100x_ - 1_c561_Probabilities.h5,3,45874.0,579.2,251.2
47,MAX_052121_Hela_CBS_GL2_48h_Flag TR_MCP JF646_100x_ - 1_c561_Probabilities.h5,1,37354.0,35.5,254.5
48,MAX_052121_Hela_CBS_GL2_48h_Flag TR_MCP JF646_100x_ - 1_c561_Probabilities.h5,6,42269.7,273.5,264.0
49,MAX_052121_Hela_CBS_GL2_48h_Flag TR_MCP JF646_100x_ - 1_c561_Probabilities.h5,1,35388.0,433.5,269.5
50,MAX_052121_Hela_CBS_GL2_48h_Flag TR_MCP JF646_100x_ - 1_c561_Probabilities.h5,10,46660.4,527.8,273.2
51,MAX_052121_Hela_CBS_GL2_48h_Flag TR_MCP JF646_100x_ - 1_c561_Probabilities.h5,7,45406.0,417.5,273.2
52,MAX_052121_Hela_CBS_GL2_48h_Flag TR_MCP JF646_100x_ - 1_c561_Probabilities.h5,1,34733.0,68.5,282.5
53,MAX_052121_Hela_CBS_GL2_48h_Flag TR_MCP JF646_100x_ - 1_c561_Probabilities.h5,8,46529.2,447.4,283.4
54,MAX_052121_Hela_CBS_GL2_48h_Flag TR_MCP JF646_100x_ - 1_c561_Probabilities.h5,8,46775.4,298.6,285.6
55,MAX_052121_Hela_CBS_GL2_48h_Flag TR_MCP JF646_100x_ - 1_c561_Probabilities.h5,2,35388.5,430.0,299.0
56,MAX_052121_Hela_CBS_GL2_48h_Flag TR_MCP JF646_100x_ - 1_c561_Probabilities.h5,1,34078.0,24.5,318.5
57,MAX_052121_Hela_CBS_GL2_48h_Flag TR_MCP JF646_100x_ - 1_c561_Probabilities.h5,11,46588.9,126.1,319.6
58,MAX_052121_Hela_CBS_GL2_48h_Flag TR_MCP JF646_100x_ - 1_c561_Probabilities.h5,1,33422.0,340.5,318.5
