 ,image,Area,Mean,StdDev,Mode,Min,Max,X,Y,XM,YM,IntDen,Median,RawIntDen,Ch,bkg_area,bkg_mean,bkg_min,bkg_max,bkg_median,bkg_stdev,radius1,radius2,MeanSub,cellid,nucid,cytoid
4117,052121_Hela_CBS_C+A_48h_Flag TR_MCP JF646_100x_ - 1_c405_c488_c561_c640,52,4008.5,457.0,3280,3280,5331,555.0,15.0,554.9,15.1,208440.0,4043,208440.0,1,60,4264.5,3018,5635,4270,638.7,4,6,0.0,1,1,0
4118,052121_Hela_CBS_C+A_48h_Flag TR_MCP JF646_100x_ - 1_c405_c488_c561_c640,52,4092.8,1186.0,2460,2460,8306,555.0,15.0,554.8,15.2,212827.0,3727,212827.0,2,60,5056.2,1955,13163,3771,2890.1,4,6,0.0,1,1,0
4119,052121_Hela_CBS_C+A_48h_Flag TR_MCP JF646_100x_ - 1_c405_c488_c561_c640,52,10764.1,4616.2,5127,5127,24156,555.0,15.0,555.0,14.8,559735.0,9909,559735.0,3,60,6828.2,3694,13736,6449,2061.8,4,6,3935.900000000001,1,1,0
4120,052121_Hela_CBS_C+A_48h_Flag TR_MCP JF646_100x_ - 1_c405_c488_c561_c640,52,3667.5,953.3,2295,2295,6988,555.0,15.0,555.0,14.7,190710.0,3350,190710.0,4,60,3398.8,2309,8716,3046,1065.5,4,6,268.6999999999998,1,1,0
4121,052121_Hela_CBS_C+A_48h_Flag TR_MCP JF646_100x_ - 1_c405_c488_c561_c640,52,1513.4,186.6,1315,1164,2146,203.0,18.5,203.0,18.1,78697.0,1513,78697.0,1,60,1451.6,1111,2213,1409,214.0,4,6,61.80000000000018,3,0,1
4122,052121_Hela_CBS_C+A_48h_Flag TR_MCP JF646_100x_ - 1_c405_c488_c561_c640,52,24220.0,7842.5,7019,7019,37057,203.0,18.5,202.5,17.8,1259438.0,27038,1259438.0,2,60,19271.5,5155,39066,21369,8923.4,4,6,4948.5,3,0,1
4123,052121_Hela_CBS_C+A_48h_Flag TR_MCP JF646_100x_ - 1_c405_c488_c561_c640,52,28559.3,9177.4,11691,11691,50118,203.0,18.5,202.8,18.1,1485085.0,27517,1485085.0,3,60,18201.0,10354,29105,18067,4177.6,4,6,10358.3,3,0,1
4124,052121_Hela_CBS_C+A_48h_Flag TR_MCP JF646_100x_ - 1_c405_c488_c561_c640,52,4822.3,654.5,3654,3654,6702,203.0,18.5,203.1,18.0,250758.0,4860,250758.0,4,60,4779.4,3751,7680,4615,785.2,4,6,42.90000000000055,3,0,1
4125,052121_Hela_CBS_C+A_48h_Flag TR_MCP JF646_100x_ - 1_c405_c488_c561_c640,52,1512.5,192.1,1463,1155,2048,255.5,18.5,255.0,18.1,78652.0,1478,78652.0,1,60,1525.4,1187,2168,1480,204.9,4,6,0.0,3,0,1
4126,052121_Hela_CBS_C+A_48h_Flag TR_MCP JF646_100x_ - 1_c405_c488_c561_c640,52,3034.5,1096.7,3825,1847,6397,255.5,18.5,254.5,18.2,157795.0,2833,157795.0,2,60,3221.4,1656,7488,2821,1361.8,4,6,0.0,3,0,1
4127,052121_Hela_CBS_C+A_48h_Flag TR_MCP JF646_100x_ - 1_c405_c488_c561_c640,52,11437.8,4435.3,9372,5643,22720,255.5,18.5,255.0,18.4,594767.0,10713,594767.0,3,60,7789.7,5236,11302,7799,1517.7,4,6,3648.1,3,0,1
4128,052121_Hela_CBS_C+A_48h_Flag TR_MCP JF646_100x_ - 1_c405_c488_c561_c640,52,4266.8,641.2,2584,2584,5548,255.5,18.5,255.0,18.0,221872.0,4167,221872.0,4,60,3817.7,2639,5347,3801,528.9,4,6,449.1000000000004,3,0,1
4129,052121_Hela_CBS_C+A_48h_Flag TR_MCP JF646_100x_ - 1_c405_c488_c561_c640,52,1518.1,168.6,1493,1206,2073,186.4,25.4,186.0,25.0,78939.0,1493,78939.0,1,60,1557.6,1133,2163,1500,201.6,4,6,0.0,3,0,1
4130,052121_Hela_CBS_C+A_48h_Flag TR_MCP JF646_100x_ - 1_c405_c488_c561_c640,52,17749.0,15973.1,2545,2545,55757,186.4,25.4,186.9,24.4,922946.0,12001,922946.0,2,60,5659.1,2365,18641,4761,3503.2,4,6,12089.9,3,0,1
4131,052121_Hela_CBS_C+A_48h_Flag TR_MCP JF646_100x_ - 1_c405_c488_c561_c640,52,21283.1,7518.8,8127,8127,39302,186.4,25.4,186.3,25.0,1106720.0,20743,1106720.0,3,60,13291.0,7724,22582,13055,3332.2,4,6,7992.0999999999985,3,0,1
4132,052121_Hela_CBS_C+A_48h_Flag TR_MCP JF646_100x_ - 1_c405_c488_c561_c640,52,4806.8,462.6,3764,3764,5882,186.4,25.4,186.0,25.0,249951.0,4788,249951.0,4,60,5194.0,3870,7030,5177,677.7,4,6,0.0,3,0,1
4133,052121_Hela_CBS_C+A_48h_Flag TR_MCP JF646_100x_ - 1_c405_c488_c561_c640,52,1420.5,182.1,1417,1127,1928,327.5,26.5,327.1,26.0,73867.0,1414,73867.0,1,60,1392.4,1095,2083,1372,166.3,4,6,28.09999999999991,3,0,1
4134,052121_Hela_CBS_C+A_48h_Flag TR_MCP JF646_100x_ - 1_c405_c488_c561_c640,52,5719.5,1015.2,3729,3729,8681,327.5,26.5,327.0,26.1,297416.0,5661,297416.0,2,60,5467.0,2780,9601,5517,1374.4,4,6,252.5,3,0,1
4135,052121_Hela_CBS_C+A_48h_Flag TR_MCP JF646_100x_ - 1_c405_c488_c561_c640,52,14002.3,4491.5,10275,8550,28886,327.5,26.5,327.3,26.1,728119.0,12718,728119.0,3,60,11271.5,8361,17093,11074,2046.4,4,6,2730.7999999999997,3,0,1
