,image,cellid,transcnt,treat,labelid_cell,area_cell,major_axis_length_cell,minor_axis_length_cell,mean_intensity-1,mean_intensity-2,mean_intensity-3,zsum_intensity_0,zsum_intensity_1,zsum_intensity_2,zsum_intensity_3,labelid_nuc,cell_linkid,area_nuc,mean_intensity-0,eccentricity,major_axis_length_nuc,minor_axis_length_nuc
0,052121_Hela_CBS_C+A+Puro_48h_Flag TR_MCP JF646_100x_ - 10_c405_c488_c561_c640,1,1,C+A+Puro_48h,1,24964,212.4678343901413,155.11004553976787,4395.375620894088,13777.527800032049,1461.664316615927,26235335.0,161124974.0,1461629194.0,299866.0,1,1,3780,3570.820634920635,0.8163714810015918,93.59615858736056,54.05432239741145
1,052121_Hela_CBS_C+A+Puro_48h_Flag TR_MCP JF646_100x_ - 10_c405_c488_c561_c640,2,18,C+A+Puro_48h,2,133983,501.0300385429778,370.46301552979753,5539.021435555257,20330.071919571885,1671.340991021249,848166166.0,1363057181.0,14039939167.0,8065230.0,2,2,26912,6889.376337693222,0.5191160033508719,200.67220347245652,171.51529360976804
2,052121_Hela_CBS_C+A+Puro_48h_Flag TR_MCP JF646_100x_ - 10_c405_c488_c561_c640,3,1,C+A+Puro_48h,3,127619,829.2059351725106,208.9092062569989,6828.429058369052,15916.960413418064,1907.031531355049,163606744.0,1945338961.0,10383101186.0,37057902.0,3,3,8844,5507.771483491632,0.9848399109383944,264.25435512342915,45.83906725803343
3,052121_Hela_CBS_C+A+Puro_48h_Flag TR_MCP JF646_100x_ - 10_c405_c488_c561_c640,4,8,C+A+Puro_48h,4,115975,506.05844698994525,316.27173133433365,5969.761664151757,20659.47102392757,1718.1280189696056,639563931.0,1325509589.0,12414297200.0,15743718.0,4,4,27836,5704.996335680414,0.7803387134688877,239.19004814929124,149.57919289760108
4,052121_Hela_CBS_C+A+Puro_48h_Flag TR_MCP JF646_100x_ - 11_c405_c488_c561_c640,1,4,C+A+Puro_48h,1,105205,504.1548303174269,301.7435558874296,9566.511734233163,13312.746628011975,1406.0406349508105,869471552.0,2798197449.0,7261695822.0,787786.0,1,1,32437,6137.408854086383,0.4503156076584001,215.50765632182225,192.42020242071845
5,052121_Hela_CBS_C+A+Puro_48h_Flag TR_MCP JF646_100x_ - 11_c405_c488_c561_c640,2,18,C+A+Puro_48h,2,167349,580.8642618929306,439.4986726219912,6103.879067099296,13626.269502656123,1980.620099313411,937159652.0,2124180887.0,11261914111.0,79799541.0,2,2,29722,6717.647735684005,0.7653439747032748,242.91014524977643,156.34218546941568
6,052121_Hela_CBS_C+A+Puro_48h_Flag TR_MCP JF646_100x_ - 11_c405_c488_c561_c640,3,12,C+A+Puro_48h,3,172582,687.8310928545708,347.9580814469353,6011.558082534679,11897.422517991448,1831.378260768794,882320055.0,1964833099.0,9276308791.0,43961735.0,3,3,24666,6477.397145868808,0.8626643862700414,249.91432938991844,126.40086614713886
7,052121_Hela_CBS_C+A+Puro_48h_Flag TR_MCP JF646_100x_ - 11_c405_c488_c561_c640,4,1,C+A+Puro_48h,4,37478,286.575439479645,181.19498000023236,5959.951278083142,11038.254282512407,1286.0727626874434,18654900.0,434688315.0,1785866917.0,59155.0,4,4,6906,2785.5525629887056,0.9462172348473084,170.69544833055423,55.22543700722378
8,052121_Hela_CBS_C+A+Puro_48h_Flag TR_MCP JF646_100x_ - 11_c405_c488_c561_c640,5,1,C+A+Puro_48h,5,42520,366.698369446634,152.9005061800794,5335.950611476952,13712.3632173095,1396.2059266227657,41370269.0,386619606.0,2512285767.0,144126.0,5,5,7057,3367.5398894714467,0.8557369612502791,135.73978158625548,70.23327058931282
9,052121_Hela_CBS_C+A+Puro_48h_Flag TR_MCP JF646_100x_ - 12_c405_c488_c561_c640,1,25,C+A+Puro_48h,1,124769,487.66766536076994,342.8585562558693,2748.4424095728905,17367.194343146133,3855.4292652822414,1062226487.0,311342780.0,10612111439.0,1290665075.0,1,1,24909,7767.133084427315,0.6981910458208676,213.17139160366747,152.61184888932465
10,052121_Hela_CBS_C+A+Puro_48h_Flag TR_MCP JF646_100x_ - 12_c405_c488_c561_c640,2,10,C+A+Puro_48h,2,81324,447.4237861068612,242.3809729563696,2357.9720377748267,10619.299985244208,2859.0317003590576,512340560.0,135473095.0,3500550418.0,285727770.0,2,2,21022,5767.416183046333,0.7704784855912753,207.6253179085635,132.35408124544284
11,052121_Hela_CBS_C+A+Puro_48h_Flag TR_MCP JF646_100x_ - 12_c405_c488_c561_c640,3,2,C+A+Puro_48h,3,62319,438.65874219740886,198.5553322198132,2285.603957059645,9098.72995394663,2481.858245478907,189094258.0,90036530.0,2245405988.0,118832327.0,3,3,11687,4529.583725506974,0.893743130390443,188.17934309808803,84.41332202740155
12,052121_Hela_CBS_C+A+Puro_48h_Flag TR_MCP JF646_100x_ - 12_c405_c488_c561_c640,3,2,C+A+Puro_48h,3,62319,438.65874219740886,198.5553322198132,2285.603957059645,9098.72995394663,2481.858245478907,189094258.0,90036530.0,2245405988.0,118832327.0,5,3,739,4760.054127198918,0.9549638466448368,59.8175913047517,17.74920604362863
13,052121_Hela_CBS_C+A+Puro_48h_Flag TR_MCP JF646_100x_ - 12_c405_c488_c561_c640,4,12,C+A+Puro_48h,4,139700,564.7253161975412,328.6907254038525,2528.9632068718684,12795.61024337867,3309.745161059413,821275016.0,244515703.0,8052347397.0,880467700.0,4,4,24590,6646.697925986174,0.8223038091140897,235.50385789586,134.01316884576053
14,052121_Hela_CBS_C+A+Puro_48h_Flag TR_MCP JF646_100x_ - 13_c405_c488_c561_c640,1,13,C+A+Puro_48h,1,116716,557.4549052443361,298.7062398627044,4554.699338565407,14175.84301209774,5879.861578532506,977841072.0,782794908.0,7650536959.0,2794533567.0,1,1,25365,7470.107470924502,0.7097509999591046,214.34816837312803,150.99813248929
15,052121_Hela_CBS_C+A+Puro_48h_Flag TR_MCP JF646_100x_ - 13_c405_c488_c561_c640,2,5,C+A+Puro_48h,2,84570,621.9079146852276,192.69319837010585,4573.046943360529,9092.692999881754,3505.002081116235,556148683.0,647076872.0,3402672187.0,645997684.0,2,2,27054,5412.871922821025,0.7589871585273328,231.02743719384972,150.42325648533927
16,052121_Hela_CBS_C+A+Puro_48h_Flag TR_MCP JF646_100x_ - 13_c405_c488_c561_c640,3,9,C+A+Puro_48h,3,98459,429.9900003729583,328.4792867733309,5213.948496328421,11366.590255842531,5160.503387196701,819797886.0,929564229.0,5444212157.0,1872755369.0,3,3,28829,6461.0888688473415,0.7905732766716056,245.483038979985,150.32582267723978
17,052121_Hela_CBS_C+A+Puro_48h_Flag TR_MCP JF646_100x_ - 13_c405_c488_c561_c640,4,8,C+A+Puro_48h,4,109369,642.2762322542583,233.2593113976349,3106.015909444175,9538.379888268157,5592.045259625671,1036938448.0,354074538.0,4480344299.0,2579809387.0,4,4,24661,7254.080167065407,0.7545044133958855,220.04877876516912,144.41690708049182
18,052121_Hela_CBS_C+A+Puro_48h_Flag TR_MCP JF646_100x_ - 13_c405_c488_c561_c640,5,30,C+A+Puro_48h,5,75548,373.0314215926989,280.61138480495293,4812.692804574575,16125.007240429926,4653.730171546566,637038251.0,890043700.0,7861641298.0,1406503233.0,5,5,19598,6117.152209409123,0.5820335254691872,176.7193174754617,143.70192663325884
19,052121_Hela_CBS_C+A+Puro_48h_Flag TR_MCP JF646_100x_ - 13_c405_c488_c561_c640,6,5,C+A+Puro_48h,6,35148,284.72567396529774,169.82275157703626,4863.858370319791,13154.774354159554,2988.939512916809,168227098.0,592588204.0,2732941474.0,161132452.0,6,6,13170,4244.591951404707,0.9141572354916716,206.6761702378822,83.77820627597008
20,052121_Hela_CBS_C+A+Puro_48h_Flag TR_MCP JF646_100x_ - 14_c405_c488_c561_c640,1,30,C+A+Puro_48h,1,227276,672.1686673574176,442.8225864193777,4873.950905506961,16632.146539889825,2024.8289392632744,2105363911.0,1851807264.0,18895334874.0,279101294.0,1,1,35078,9900.662352471634,0.7465446213041376,259.92077127684365,172.9344774161316
21,052121_Hela_CBS_C+A+Puro_48h_Flag TR_MCP JF646_100x_ - 14_c405_c488_c561_c640,2,5,C+A+Puro_48h,2,164602,546.3027355305144,408.3637964469272,5216.429520904971,18272.73564719748,1633.246242451489,1127533187.0,1713486402.0,16680917654.0,6827352.0,2,2,34517,7041.116898919373,0.6661741603463621,243.4508315094839,181.56470766293015
22,052121_Hela_CBS_C+A+Puro_48h_Flag TR_MCP JF646_100x_ - 15_c405_c488_c561_c640,1,4,C+A+Puro_48h,1,105935,434.7856899367347,322.1893527727561,3319.9735214990324,8814.077424835985,4527.95593524331,725441296.0,403928743.0,3818909747.0,1716533369.0,1,1,10937,4767.16073877663,0.8513062222507395,171.42036489015263,89.93897697550284
23,052121_Hela_CBS_C+A+Puro_48h_Flag TR_MCP JF646_100x_ - 15_c405_c488_c561_c640,1,4,C+A+Puro_48h,1,105935,434.7856899367347,322.1893527727561,3319.9735214990324,8814.077424835985,4527.95593524331,725441296.0,403928743.0,3818909747.0,1716533369.0,2,1,22201,5025.420972028287,0.7329009372091414,205.42857307264825,139.76032435524232
24,052121_Hela_CBS_C+A+Puro_48h_Flag TR_MCP JF646_100x_ - 15_c405_c488_c561_c640,2,8,C+A+Puro_48h,2,69282,435.5044573088544,227.04724446785664,3882.545625126296,14502.619987875638,1917.0660056003003,669449257.0,426860870.0,5545495869.0,35312532.0,3,2,25316,6159.804826986886,0.8549527308705824,251.4887225757546,130.44868837302866
25,052121_Hela_CBS_C+A+Puro_48h_Flag TR_MCP JF646_100x_ - 15_c405_c488_c561_c640,3,15,C+A+Puro_48h,3,127105,567.6592294745542,325.975983833696,4080.878155855395,15161.276889186103,3517.702411392156,948742605.0,717300982.0,9893840026.0,878946574.0,4,3,32796,6679.343517502134,0.8082841892394126,267.55103396363705,157.53205610834112
26,052121_Hela_CBS_C+A+Puro_48h_Flag TR_MCP JF646_100x_ - 15_c405_c488_c561_c640,4,10,C+A+Puro_48h,4,121072,541.6472517504533,294.39771552256275,3943.973346438483,12488.304934253998,3370.232811880534,726258090.0,663971904.0,7469091542.0,796494603.0,5,4,29515,5870.590750465864,0.7917557632685701,249.1473108940116,152.1885939209367
27,052121_Hela_CBS_C+A+Puro_48h_Flag TR_MCP JF646_100x_ - 15_c405_c488_c561_c640,5,2,C+A+Puro_48h,5,65874,379.8138491192295,238.55066684784663,4171.352050885023,11013.604016759267,3635.2448006800864,53260500.0,386249809.0,3334883774.0,438482684.0,6,5,4659,4329.811118265722,0.8696594697085309,112.75488816542722,55.66168857431595
